name;female;birthdate;birthplace;link
Emilia Jones;True;23/2/2002;['Westminster', ', London, England'];https://en.wikipedia.org/wiki/Emilia_Jones
Eugenio Derbez;False;2/9/1961;['Mexico City'];https://en.wikipedia.org/wiki/Eugenio_Derbez
Troy Kotsur;False;24/7/1968;['Mesa', ', ', 'Arizona', ', U.S.'];https://en.wikipedia.org/wiki/Troy_Kotsur
Ferdia Walsh-Peelo;False;12/10/1999;['Ashford, County Wicklow', ',', '[', 'citation needed', ']', ' Ireland'];https://en.wikipedia.org/wiki/Ferdia_Walsh-Peelo
Rebecca Ferguson;True;19/10/1983;['Stockholm', ', Sweden'];https://en.wikipedia.org/wiki/Rebecca_Ferguson
Timothée Chalamet;False;27/12/1995;['New York City, U.S.'];https://en.wikipedia.org/wiki/Timoth%C3%A9e_Chalamet
Cherry Jones;True;21/11/1956;['Paris, Tennessee', ', U.S.'];https://en.wikipedia.org/wiki/Cherry_Jones
Daniel Durant;False;;['Detroit, Michigan', ', U.S.'];https://en.wikipedia.org/wiki/Daniel_Durant
Marlee Matlin;True;24/8/1965;['Morton Grove', ', ', 'Illinois', ', U.S.'];https://en.wikipedia.org/wiki/Marlee_Matlin
Vincent D'Onofrio;False;30/6/1959;['New York City', ', U.S.'];https://en.wikipedia.org/wiki/Vincent_D%27Onofrio
Andrew Garfield;False;20/8/1983;['Los Angeles, California', ', U.S.'];https://en.wikipedia.org/wiki/Andrew_Garfield
Hidetoshi Nishijima (actor);False;29/3/1971;['Hachiōji', ', ', 'Tokyo', ', Japan'];https://en.wikipedia.org/wiki/Hidetoshi_Nishijima_(actor)
Oscar Isaac;False;9/3/1979;['Guatemala City', ', Guatemala'];https://en.wikipedia.org/wiki/Oscar_Isaac
Daniel Craig;False;2/3/1968;['Chester', ', ', 'Cheshire', ', England'];https://en.wikipedia.org/wiki/Daniel_Craig
Josh Brolin;False;12/2/1968;['Santa Monica, California', ', U.S.'];https://en.wikipedia.org/wiki/Josh_Brolin
Tōko Miura;True;20/10/1996;['Hokkaido', ', Japan'];https://en.wikipedia.org/wiki/T%C5%8Dko_Miura
Stellan Skarsgård;False;13/6/1951;['Gothenburg', ', Sweden'];https://en.wikipedia.org/wiki/Stellan_Skarsg%C3%A5rd
Rami Malek;False;12/5/1981;['Torrance, California', ', U.S.'];https://en.wikipedia.org/wiki/Rami_Malek
Reika Kirishima;True;5/8/1972;['Niigata Prefecture', ', Japan'];https://en.wikipedia.org/wiki/Reika_Kirishima
Léa Seydoux;True;1/7/1985;['Paris', ', France'];https://en.wikipedia.org/wiki/L%C3%A9a_Seydoux
Jason Momoa;False;1/8/1979;['Honolulu', ', ', 'Hawaii', ', U.S.'];https://en.wikipedia.org/wiki/Jason_Momoa
Jude Hill;False;;['Gilford, County Down', ', Northern Ireland'];https://en.wikipedia.org/wiki/Jude_Hill
Christoph Waltz;False;4/10/1956;['Vienna', ', Austria'];https://en.wikipedia.org/wiki/Christoph_Waltz
Thomasin McKenzie;True;26/7/2000;['Wellington', ', New Zealand'];https://en.wikipedia.org/wiki/Thomasin_McKenzie
Emily Beecham;True;12/5/1984;['Wythenshawe', ', ', 'Manchester', ', England'];https://en.wikipedia.org/wiki/Emily_Beecham
Anthony Hopkins;False;31/12/1937;['Port Talbot', ', ', 'Glamorgan', ', Wales'];https://en.wikipedia.org/wiki/Anthony_Hopkins
Olivia Colman;True;30/1/1974;['Norwich', ', ', 'Norfolk', ', England'];https://en.wikipedia.org/wiki/Olivia_Colman
Jessica Darrow;True;7/1/1995;['Miami, Florida', ', U.S.'];https://en.wikipedia.org/wiki/Jessica_Darrow
Demi Singleton;True;27/2/2007;['Baton Rouge, Louisiana', ', U.S.'];https://en.wikipedia.org/wiki/Demi_Singleton
David Strathairn;False;26/1/1949;['San Francisco, California, U.S.'];https://en.wikipedia.org/wiki/David_Strathairn
Charlotte Rampling;True;5/2/1946;['Sturmer, Essex', ', England'];https://en.wikipedia.org/wiki/Charlotte_Rampling
Josie Walker;True;;['Belfast', ',', ' ', 'Northern Ireland'];https://en.wikipedia.org/wiki/Josie_Walker
