show_id,plataforma,director1,director2,director3,director4,director5,director6,director7,director8,director9,director10,director11,director12,director13,director14,director15,director16,director17,codireccion
s2,amazon,Girish Joshi,,,,,,,,,,,,,,,,,0
s17,amazon,Glenn Miller,,,,,,,,,,,,,,,,,0
s20,amazon,Drake Doremus,,,,,,,,,,,,,,,,,0
s23,amazon,William Nigh,,,,,,,,,,,,,,,,,0
s25,amazon,Sam Pillsbury,,,,,,,,,,,,,,,,,0
s33,amazon,Ida Lupino,,,,,,,,,,,,,,,,,0
s37,amazon,George C. Wolfe,,,,,,,,,,,,,,,,,0
s39,amazon,Mark Knight,,,,,,,,,,,,,,,,,0
s40,amazon,Mark Knight,,,,,,,,,,,,,,,,,0
s41,amazon,Mark Knight,,,,,,,,,,,,,,,,,0
s42,amazon,Mark Knight,,,,,,,,,,,,,,,,,0
s44,amazon,Mark Knight,,,,,,,,,,,,,,,,,0
s45,amazon,Mark Knight,,,,,,,,,,,,,,,,,0
s46,amazon,Mark Knight,,,,,,,,,,,,,,,,,0
s47,amazon,Mark Knight,,,,,,,,,,,,,,,,,0
s48,amazon,Mark Knight,,,,,,,,,,,,,,,,,0
s49,amazon,Mark Knight,,,,,,,,,,,,,,,,,0
s50,amazon,Mark Knight,,,,,,,,,,,,,,,,,0
s51,amazon,Mark Knight,,,,,,,,,,,,,,,,,0
s52,amazon,Mark Knight,,,,,,,,,,,,,,,,,0
s53,amazon,R. John Hugh,,,,,,,,,,,,,,,,,0
s55,amazon,Mahi V Raghav,,,,,,,,,,,,,,,,,0
s56,amazon,Mahi V Raghav,,,,,,,,,,,,,,,,,0
s60,amazon,Allan Moyle,,,,,,,,,,,,,,,,,0
s61,amazon,Boaz Davidson,,,,,,,,,,,,,,,,,0
s63,amazon,Jeffrey Schwarz,,,,,,,,,,,,,,,,,0
s74,amazon,Thor Freudenthal,,,,,,,,,,,,,,,,,0
s80,amazon,Buzz Kulik,,,,,,,,,,,,,,,,,0
s81,amazon,Robert Ginty,,,,,,,,,,,,,,,,,0
s82,amazon,John Elbert Ferrer,,,,,,,,,,,,,,,,,0
s83,amazon,Jenny Bowen,,,,,,,,,,,,,,,,,0
s84,amazon,Oscar Micheaux,,,,,,,,,,,,,,,,,0
s89,amazon,Alfred Santell,,,,,,,,,,,,,,,,,0
s90,amazon,Mack V. Wright,,,,,,,,,,,,,,,,,0
s91,amazon,Carroll Ballard,,,,,,,,,,,,,,,,,0
s93,amazon,Jonathan Chase Cook,,,,,,,,,,,,,,,,,0
s94,amazon,Brandon Jones,,,,,,,,,,,,,,,,,0
s95,amazon,Brandon Jones,,,,,,,,,,,,,,,,,0
s96,amazon,Alan Scales,,,,,,,,,,,,,,,,,0
s97,amazon,Frank Hall Green,,,,,,,,,,,,,,,,,0
s100,amazon,Glenn Gordon Caron,,,,,,,,,,,,,,,,,0
s103,amazon,Andrew V. McLaglen,,,,,,,,,,,,,,,,,0
s106,amazon,Eugene Jarecki,,,,,,,,,,,,,,,,,0
s108,amazon,Kreeti Gogia,,,,,,,,,,,,,,,,,0
s110,amazon,Ian Lilley,,,,,,,,,,,,,,,,,0
s114,amazon,Karen Shakhnazarov,,,,,,,,,,,,,,,,,0
s115,amazon,Aaron J. Christopher,,,,,,,,,,,,,,,,,0
s117,amazon,Leonide Moguy,,,,,,,,,,,,,,,,,0
s118,amazon,David Bolt,,,,,,,,,,,,,,,,,0
s123,amazon,Amma Asante,,,,,,,,,,,,,,,,,0
s124,amazon,William K. Howard,,,,,,,,,,,,,,,,,0
s125,amazon,Rocío de Prat Gay,,,,,,,,,,,,,,,,,0
s126,amazon,Anand Tucker,,,,,,,,,,,,,,,,,0
s127,amazon,Jamall Rashaud McMillan,,,,,,,,,,,,,,,,,0
s128,amazon,Harold Trompetero,,,,,,,,,,,,,,,,,0
s133,amazon,Albert Herman,,,,,,,,,,,,,,,,,0
s134,amazon,Jerry Reed,,,,,,,,,,,,,,,,,0
s136,amazon,Howard Bretherton,,,,,,,,,,,,,,,,,0
s137,amazon,Robert Hill,,,,,,,,,,,,,,,,,0
s140,amazon,Kôji Masunari,,,,,,,,,,,,,,,,,0
s142,amazon,Caroline Laskow, Ian Rosenberg,,,,,,,,,,,,,,,,1
s143,amazon,Saleel Kulkarni,,,,,,,,,,,,,,,,,0
s144,amazon,John McKay,,,,,,,,,,,,,,,,,0
s145,amazon,Lynne Ramsay,,,,,,,,,,,,,,,,,0
s147,amazon,Melvin Van Peebles,,,,,,,,,,,,,,,,,0
s152,amazon,María Ripoll,,,,,,,,,,,,,,,,,0
s153,amazon,Frank Capra,,,,,,,,,,,,,,,,,0
