show_id,gen1,gen2,gen3,gen4,gen5
s2,Drama, International,,,
s17,Horror, Science Fiction,,,
s20,Science Fiction,,,,
s23,Arts, Entertainment, and Culture, Comedy, Drama
s25,Drama,,,,
s26,Documentary,,,,
s33,Drama,,,,
s34,Music Videos and Concerts,,,,
s35,Music Videos and Concerts,,,,
s37,Drama,,,,
s39,Fitness, Special Interest,,,
s40,Faith and Spirituality, Special Interest,,,
s41,Fitness, Special Interest,,,
s42,Special Interest,,,,
s44,Fitness, Special Interest,,,
s45,Fitness, Special Interest,,,
s46,Fitness, Special Interest,,,
s47,Special Interest,,,,
s48,Fitness, Special Interest,,,
s49,Fitness, Special Interest,,,
s50,Fitness, Special Interest,,,
s51,Fitness, Special Interest,,,
s52,Special Interest,,,,
s53,Action, Military and War, Western,,
s55,Drama, International,,,
s56,Drama, International,,,
s60,Fantasy, Science Fiction, Suspense,,
s61,Suspense,,,,
s63,Documentary, LGBTQ,,,
s71,Music Videos and Concerts,,,,
s74,Drama,,,,
s77,Kids,,,,
s78,Kids,,,,
s80,Action, Drama,,,
s81,Drama, Suspense,,,
s82,Comedy,,,,
s83,Drama,,,,
s84,Drama,,,,
s89,Action, Drama,,,
s90,Western,,,,
s91,Action, Drama, Sports,,
s92,Documentary, Special Interest,,,
s93,Documentary, Special Interest,,,
s94,Arts, Entertainment, and Culture, Comedy,
s95,Arts, Entertainment, and Culture, Comedy, Special Interest
s96,Documentary, International, Special Interest,,
s97,Action, Drama,,,
s100,Comedy, Science Fiction,,,
s103,Action,,,,
s104,Documentary, Special Interest,,,
s106,Documentary,,,,
s108,Arts, Entertainment, and Culture,,
s109,Drama, Special Interest,,,
s110,Documentary,,,,
s111,Comedy,,,,
s114,Action, Science Fiction,,,
s115,Documentary, Faith and Spirituality, Special Interest,,
s117,Drama,,,,
s118,Action, Drama, Special Interest,,
s119,Animation, Kids,,,
s120,Animation, Kids,,,
s121,Animation, Kids,,,
s122,Animation, Kids,,,
s123,Drama, Young Adult Audience,,,
s124,Drama, Military and War,,,
s125,Drama,,,,
s126,Arthouse, Drama,,,
s127,Drama,,,,
s128,Comedy,,,,
s133,Suspense,,,,
s134,Action, Adventure, Comedy,,
s136,Military and War, Western,,,
s137,Action, Comedy, Drama,,
s140,Anime,,,,
s142,Documentary, Special Interest,,,
s143,Comedy, International,,,
s144,Drama, Romance,,,
s145,Drama, Horror, Suspense,,
s147,Comedy,,,,
s148,Documentary, Special Interest,,,
s149,Documentary,,,,
s151,Kids,,,,
s152,Comedy,,,,
s153,Documentary, Special Interest,,,
s154,Action, Drama, Suspense,,
s155,Action, Drama, Suspense,,
s156,Special Interest,,,,
s160,Action, Suspense,,,
s161,Western,,,,
s162,Action, Drama,,,
s165,Comedy, Drama,,,
s166,Drama, Romance, Suspense,,
s167,Documentary, Sports,,,
s168,Action, Drama,,,
s169,Arts, Entertainment, and Culture, Documentary,
s173,Science Fiction,,,,
s174,Drama, Suspense,,,
s175,Action, Science Fiction, Suspense,,
s176,Drama, Suspense,,,
s178,Kids,,,,
s179,Action, Drama, International,,
s180,Drama,,,,
s181,Drama, Science Fiction, Suspense,,
s182,Drama,,,,
s183,Drama, Romance,,,
s185,International, Suspense,,,
s187,Documentary, International, Special Interest,,
s190,International, Suspense,,,
s193,Action, Comedy, Drama,,
s194,International, Suspense,,,
s197,Kids,,,,
s200,Action, Documentary, Sports,,
s201,Documentary,,,,
s203,Action, Suspense,,,
s204,Action, Drama, Suspense,,
s205,Action, Drama, Suspense,,
s206,Action, Drama, Suspense,,
s209,Music Videos and Concerts,,,,
s210,Music Videos and Concerts,,,,
s211,Music Videos and Concerts,,,,
s214,Arts, Entertainment, and Culture, Comedy,
s218,Drama,,,,
s219,Drama, Suspense,,,
s220,Kids,,,,
s221,Documentary,,,,
s222,Sports,,,,
s223,Western,,,,
s225,Documentary, Special Interest,,,
s226,Western,,,,
s228,Documentary,,,,
s229,Drama,,,,
s232,Horror,,,,
s234,Action, Drama,,,
s235,Comedy, International,,,
s236,Special Interest,,,,
s237,Documentary, Science Fiction,,,
s238,Special Interest,,,,
s239,Special Interest,,,,
s240,Special Interest,,,,
s244,Action, Comedy,,,
s245,Kids,,,,
s246,Arthouse, Comedy, Drama,,
s247,Arts, Entertainment, and Culture, Documentary, Special Interest
s250,Drama, Romance,,,
s253,Action, Comedy, Drama,,
s255,Arts, Entertainment, and Culture, Comedy,
s257,Drama,,,,
s258,Documentary, Special Interest,,,
s259,Drama,,,,
s260,Kids, Special Interest,,,
s262,Action, Comedy,,,
s263,Drama, Suspense,,,
s264,Comedy, International,,,
s269,Action, Suspense,,,
s271,Documentary, Special Interest,,,
s272,Action, Drama, Suspense,,
s274,Action, Adventure,,,
s275,Comedy, Drama, Sports,,
s276,Comedy, Romance,,,
s277,Documentary,,,,
s278,Music Videos and Concerts,,,,
s280,Documentary, Drama, Sports,,
s281,Drama, International, Romance,,
s284,Comedy, Drama, Romance,,
s285,Horror, Suspense,,,
s295,Drama,,,,
s296,Arts, Entertainment, and Culture, Comedy, Special Interest
s297,Action, Adventure,,,
s300,Arts, Entertainment, and Culture, Comedy, Special Interest
s303,Action, Drama, Kids,,
s305,Arts, Entertainment, and Culture, Comedy, Special Interest
s307,Music Videos and Concerts,,,,
s308,Arts, Entertainment, and Culture, Comedy, Special Interest
s311,Drama,,,,
s315,Comedy,,,,
s319,Drama, Romance,,,
s321,Drama, International,,,
s322,Drama, Suspense,,,
s323,Arts, Entertainment, and Culture, Comedy, Special Interest
s324,Music Videos and Concerts,,,,
s325,Documentary,,,,
