show_id,tipo,titulo,director,elenco,anio,clasificacion,duracion,listado_en,plataforma
s2,Movie,Take Care Good Night,Girish Joshi,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar",2018,13+,110,"Drama, International",amazon
s17,Movie,Zoombies,Glenn Miller,"Marcus Anderson, Kaiwi Lyman, Andrew Asper",2016,13+,87,"Horror, Science Fiction",amazon
s20,Movie,Zoe,Drake Doremus,"Ewan McGregor, Léa Seydoux, Theo James, Miranda Otto, Rashida Jones, Christina Aguilera, Matthew Gray Gubler, Anthony Shim",2018,R,104,Science Fiction,amazon
s23,Movie,Zis Boom Bah,William Nigh,"Grace Hayes, Mary Healy",1941,NR/Sin clasificacion,62,"Arts, Entertainment, and Culture, Comedy, Drama",amazon
s25,Movie,Zandalee,Sam Pillsbury,"Nicolas Cage, Judge Reinhold, Erika Anderson, Joe Pantoliano, Viveca Lindfors, Aaron Neville, Steve Buscemi, Ian Abercrombie, Marisa Tomei, Jo-El Sonnier, Newell Alexander, Blaise Delacroix, Eliott Keener, Richard Greenberg, John Cutler, Thomas Iain",1991,R,94,Drama,amazon
s33,Movie,Young Lovers,Ida Lupino,"Sally Forrest, Keefe Brasselle, Hugh O'Brian, Eve Miller, Lawrence Dobkin, Rita Lupino",1949,18+,86,Drama,amazon
s37,Movie,You're Not You,George C. Wolfe,"Hilary Swank, Emmy Rossum, Josh Duhamel",2015,R,103,Drama,amazon
s39,Movie,Yoga with Sound Meditations,Mark Knight,Ann-Marie Newland,2016,ALL,9,"Fitness, Special Interest",amazon
s40,Movie,Yoga to Harness Your Chakra Energy,Mark Knight,Caroline Shola Arewa,2014,ALL,18,"Faith and Spirituality, Special Interest",amazon
s41,Movie,Yoga to Ease Flight Anxiety,Mark Knight,Anne-Marie Newland,2016,ALL,14,"Fitness, Special Interest",amazon
s42,Movie,Yoga to Break Any Habit,Mark Knight,Dr Daniel J Nightingale,2014,ALL,20,Special Interest,amazon
s44,Movie,Yoga Savasana Relaxation,Mark Knight,Anne-Marie Newland,2014,ALL,19,"Fitness, Special Interest",amazon
s45,Movie,Yoga for Relaxation Anywhere,Mark Knight,Anne-Marie Newland,2014,ALL,18,"Fitness, Special Interest",amazon
s46,Movie,Yoga for Relaxation and Stress Relief Anywhere,Mark Knight,Anne-Marie Newland,2014,ALL,20,"Fitness, Special Interest",amazon
s47,Movie,Yoga for Relaxation and Stress Relief,Mark Knight,Anne-Marie Newland,2014,ALL,20,Special Interest,amazon
s48,Movie,Yoga for Mindfulness and Meditation,Mark Knight,Anne-Marie Newland,2016,ALL,22,"Fitness, Special Interest",amazon
s49,Movie,Yoga for Men's Health,Mark Knight,Anne-Marie Newland,2016,ALL,60,"Fitness, Special Interest",amazon
s50,Movie,Yoga for Breath Awareness,Mark Knight,Anne-Marie Newland,2016,ALL,6,"Fitness, Special Interest",amazon
s51,Movie,Yoga For Beginners,Mark Knight,Anne-Marie Newland,2016,ALL,54,"Fitness, Special Interest",amazon
s52,Movie,Yoga for Abdominal Breathing,Mark Knight,Anne-Marie Newland,2019,ALL,5,Special Interest,amazon
s53,Movie,Yellowneck,R. John Hugh,"Lin McCarthy, Stephen Courtleigh, Berry Kroeger, Harold Gordon, Bill Mason",1955,18+,84,"Action, Military and War, Western",amazon
s55,Movie,Yatra (Telugu),Mahi V Raghav,"Mammootty, Suhasini Maniratnam",2019,ALL,126,"Drama, International",amazon
s56,Movie,Yatra (Malayalam),Mahi V Raghav,"Mammootty, Suhasini Maniratnam",2019,ALL,125,"Drama, International",amazon
s60,Movie,Xchange,Allan Moyle,"Stephen Baldwin, Pascale Bussières, Kim Coates, Kyle MacLachlan, Tom Rack",2001,R,109,"Fantasy, Science Fiction, Suspense",amazon
s61,Movie,X-Ray,Boaz Davidson,"Barbi Benton, Chip Lucia",1983,R,89,Suspense,amazon
s63,Movie,Wrangler: Anatomy of an Icon,Jeffrey Schwarz,"Jack Wrangler, Margaret Whiting, Marc Shaiman, Bruce Vilanch, Christine Ebersole, Michael Musto, Chi Chi La Rue, Sharon Mitchell, Jamie Gillis, Candida Royalle, Samantha Fox, Gloria Leonard",2008,18+,85,"Documentary, LGBTQ",amazon
