show_id,titulo,director,elenco,anio,clasificacion,duracion,plataforma,genero,codireccion,elenco_oscar,elenco_gg,punt_media
as2,Take Care Good Night,Girish Joshi,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar",2018,13+,110,amazon,Drama,0,0,0,3.54868154158215
as17,Zoombies,Glenn Miller,"Marcus Anderson, Kaiwi Lyman, Andrew Asper",2016,13+,87,amazon,Horror,0,0,0,3.4989837398373984
as20,Zoe,Drake Doremus,"Ewan McGregor, Léa Seydoux, Theo James, Miranda Otto, Rashida Jones, Christina Aguilera, Matthew Gray Gubler, Anthony Shim",2018,R,104,amazon,Science Fiction,0,0,0,3.5867768595041323
as23,Zis Boom Bah,William Nigh,"Grace Hayes, Mary Healy",1941,NR/Sin clasificacion,62,amazon,Arts,0,0,0,3.5940919037199124
as25,Zandalee,Sam Pillsbury,"Nicolas Cage, Judge Reinhold, Erika Anderson, Joe Pantoliano, Viveca Lindfors, Aaron Neville, Steve Buscemi, Ian Abercrombie, Marisa Tomei, Jo-El Sonnier, Newell Alexander, Blaise Delacroix, Eliott Keener, Richard Greenberg, John Cutler, Thomas Iain",1991,R,94,amazon,Drama,0,0,0,3.5528455284552845
as33,Young Lovers,Ida Lupino,"Sally Forrest, Keefe Brasselle, Hugh O'Brian, Eve Miller, Lawrence Dobkin, Rita Lupino",1949,18+,86,amazon,Drama,0,0,0,3.5425055928411635
as37,You're Not You,George C. Wolfe,"Hilary Swank, Emmy Rossum, Josh Duhamel",2015,R,103,amazon,Drama,0,0,0,3.483495145631068
as39,Yoga with Sound Meditations,Mark Knight,Ann-Marie Newland,2016,ALL,9,amazon,Fitness,0,0,0,3.4712153518123667
as40,Yoga to Harness Your Chakra Energy,Mark Knight,Caroline Shola Arewa,2014,ALL,18,amazon,Faith and Spirituality,0,0,0,3.547808764940239
as41,Yoga to Ease Flight Anxiety,Mark Knight,Anne-Marie Newland,2016,ALL,14,amazon,Fitness,0,0,0,3.5220306513409962
as42,Yoga to Break Any Habit,Mark Knight,Dr Daniel J Nightingale,2014,ALL,20,amazon,Special Interest,0,0,0,3.5302375809935205
as44,Yoga Savasana Relaxation,Mark Knight,Anne-Marie Newland,2014,ALL,19,amazon,Fitness,0,0,0,3.5328389830508473
as45,Yoga for Relaxation Anywhere,Mark Knight,Anne-Marie Newland,2014,ALL,18,amazon,Fitness,0,0,0,3.4924406047516197
as46,Yoga for Relaxation and Stress Relief Anywhere,Mark Knight,Anne-Marie Newland,2014,ALL,20,amazon,Fitness,0,0,0,3.4871244635193133
as47,Yoga for Relaxation and Stress Relief,Mark Knight,Anne-Marie Newland,2014,ALL,20,amazon,Special Interest,0,0,0,3.5175824175824175
as48,Yoga for Mindfulness and Meditation,Mark Knight,Anne-Marie Newland,2016,ALL,22,amazon,Fitness,0,0,0,3.3957446808510636
as49,Yoga for Men's Health,Mark Knight,Anne-Marie Newland,2016,ALL,60,amazon,Fitness,0,0,0,3.5752032520325203
as50,Yoga for Breath Awareness,Mark Knight,Anne-Marie Newland,2016,ALL,6,amazon,Fitness,0,0,0,3.5317460317460316
as51,Yoga For Beginners,Mark Knight,Anne-Marie Newland,2016,ALL,54,amazon,Fitness,0,0,0,3.524678111587983
as52,Yoga for Abdominal Breathing,Mark Knight,Anne-Marie Newland,2019,ALL,5,amazon,Special Interest,0,0,0,3.490759753593429
as53,Yellowneck,R. John Hugh,"Lin McCarthy, Stephen Courtleigh, Berry Kroeger, Harold Gordon, Bill Mason",1955,18+,84,amazon,Action,0,0,0,3.638084632516704
as55,Yatra (Telugu),Mahi V Raghav,"Mammootty, Suhasini Maniratnam",2019,ALL,126,amazon,Drama,0,0,0,3.6176470588235294
as56,Yatra (Malayalam),Mahi V Raghav,"Mammootty, Suhasini Maniratnam",2019,ALL,125,amazon,Drama,0,0,0,3.557272727272727
as60,Xchange,Allan Moyle,"Stephen Baldwin, Pascale Bussières, Kim Coates, Kyle MacLachlan, Tom Rack",2001,R,109,amazon,Fantasy,0,0,0,3.4717348927875245
as61,X-Ray,Boaz Davidson,"Barbi Benton, Chip Lucia",1983,R,89,amazon,Suspense,0,0,0,3.5
as63,Wrangler: Anatomy of an Icon,Jeffrey Schwarz,"Jack Wrangler, Margaret Whiting, Marc Shaiman, Bruce Vilanch, Christine Ebersole, Michael Musto, Chi Chi La Rue, Sharon Mitchell, Jamie Gillis, Candida Royalle, Samantha Fox, Gloria Leonard",2008,18+,85,amazon,Documentary,0,0,0,3.5
as74,Words On Bathroom Walls,Thor Freudenthal,"Charlie Plummer, Taylor Russell, Andy Garcia, AnnaSophia Robb, Beth Grant, Devin Bostick, Lobo Sebastian, Molly Parker, Walton Goggins",2020,PG-13,111,amazon,Drama,0,0,0,3.5759493670886076
as80,Women of Valor,Buzz Kulik,"Susan Sarandon, Kristy McNichol, Terry O'Quinn",1986,16+,95,amazon,Action,0,0,0,3.61340206185567
